Data transação,Data liquidação,Descrição,Valor,Saldo
2024-05-14,2024-05-16,Cobrança de taxa de corretagem de NVDY,-7.5,9163.64
2024-05-14,2024-05-16,Cobrança de taxa de corretagem de UNH,-7.5,9171.14
2024-05-14,2024-05-16,Venda de 85 UNH a $ 51242 cada,4355.53,9178.64
2024-05-14,2024-05-16,Venda de 25 AAPL a $ 18671 cada,4667.81,4823.11
2024-05-14,2024-05-16,Cobrança de taxa de corretagem de AAPL,-7.5,155.3
2024-05-15,2024-05-17,Compra de 5217 CONY a $ 2194 cada,-1144.53,0
2024-05-15,2024-05-17,Cobrança de taxa de corretagem de CONY,-5,1144.53
2024-05-17,2024-05-17,Imposto sobre dividendo de AAPL,-1.88,4.37
2024-05-17,2024-05-17,Dividendos de AAPL,6.25,6.25
2024-05-18,2024-05-20,Imposto sobre dividendo de OMF,-28.39,70.62
2024-05-18,2024-05-20,Dividendos de OMF,94.64,99.01
2024-05-21,2024-05-21,Imposto sobre ADR de BABA,-0.82,69.8
2024-06-08,2024-06-10,Dividendos de CONY,88.59,1028.86
2024-06-08,2024-06-10,Dividendos de NVDY,1281.5,940.27
2024-06-08,2024-06-10,Imposto sobre dividendo de NVDY,-384.45,-341.23
2024-06-08,2024-06-10,Imposto sobre dividendo de CONY,-26.58,43.22
2024-06-10,2024-06-11,Cobrança de taxa de corretagem de CONY,-5,1.86
2024-06-10,2024-06-11,Compra de 4773 CONY a $ 2141 cada,-1022,6.86
2024-06-11,2024-06-11,Imposto sobre dividendo de LLY,-1.95,6.41
2024-06-11,2024-06-11,Dividendos de LLY,6.5,8.36
2024-06-14,2024-06-14,Dividendos de MSFT,5.25,10.08
2024-06-14,2024-06-14,Imposto sobre dividendo de MSFT,-1.58,4.83
2024-06-15,2024-06-17,Imposto sobre dividendo de ARCH,-7.66,27.98
2024-06-15,2024-06-17,Imposto de aluguel de ativo,-0.01,35.64
2024-06-15,2024-06-17,Rentabilidade de aluguel de ativo,0.04,35.65
2024-06-15,2024-06-17,Dividendos de ARCH,25.53,35.61
2024-06-18,2024-06-20,Cobrança de taxa de corretagem de MELI,-7.5,7345.54
2024-06-18,2024-06-20,Venda de 238 MELI a $ 1.57045 cada,3737.67,7353.04
2024-06-18,2024-06-20,Venda de 23 ARCH a $ 15614 cada,3591.11,3615.37
2024-06-18,2024-06-20,Cobrança de taxa de corretagem de ARCH,-7.5,24.26
2024-06-18,2024-06-18,Dividendos de GOOGL,5.4,31.76
2024-06-18,2024-06-18,Imposto sobre dividendo de GOOGL,-1.62,26.36
2024-06-20,2024-06-21,Compra de 57552 CONY a $ 2166 cada,-12465.76,2.5
2024-06-20,2024-06-21,Cobrança de taxa de corretagem de CONY,-7.5,12468.26
2024-06-20,2024-06-21,Cobrança de taxa de corretagem de MSFT,-7.5,12475.76
2024-06-20,2024-06-21,Venda de 7 MSFT a $ 44131 cada,3089.17,12483.26
2024-06-20,2024-06-21,Cobrança de taxa de corretagem de BABA,-7.5,9394.09
2024-06-20,2024-06-21,Venda de 409 BABA a $ 7472 cada,3056.05,9401.59
2024-06-20,2024-06-20,Transferência para Conta corrente,-1000,6345.54
2024-06-21,2024-06-21,Imposto sobre dividendo de QCOM,-5.29,14.84
2024-06-21,2024-06-21,Dividendos de QCOM,17.63,20.13
2024-06-27,2024-06-27,Imposto sobre dividendo de META,-0.98,17.11
2024-06-27,2024-06-27,Dividendos de META,3.25,18.09
2024-06-29,2024-07-01,Dividendos de NVDA,0.42,30.63
2024-06-29,2024-07-01,Imposto sobre dividendo de NVDA,-0.13,30.21
2024-06-29,2024-07-01,Dividendos de AVGO,18.9,30.34
2024-06-29,2024-07-01,Imposto sobre dividendo de AVGO,-5.67,11.44
2024-07-01,2024-07-02,Câmbio de real para dólar,8713.8,8744.43
2024-07-02,2024-07-03,Compra de 300 MSTY a $ 2860 cada,-8579.49,157.44
2024-07-02,2024-07-03,Cobrança de taxa de corretagem de MSTY,-7.5,8736.93
2024-07-05,2024-07-08,Venda de 275 TTWO a $ 15215 cada,4184.13,4334.07
2024-07-05,2024-07-08,Cobrança de taxa de corretagem de TTWO,-7.5,149.94
2024-07-08,2024-07-08,Transferência para Conta corrente,-1500,2084.07
2024-07-08,2024-07-08,Transferência para Conta corrente,-750,3584.07
2024-07-09,2024-07-09,Dividendos de CONY,1062.58,4182.34
